Sample Time MS,Sample Cycles,Interesting Time MS,Interesting Cycles,Q Sort Time MS,Q Sort Cycles
224,715228,225,716519,86,272789
230,735125,239,761741,87,277556
233,743736,250,798252,86,274047
248,790254,250,795679,87,276452
232,739992,240,766529,85,271257
236,752959,237,756081,96,304197
246,782189,231,737261,84,269978
232,740086,237,757592,87,274740
238,758046,243,776081,86,274395
221,703249,292,930722,85,271205
252,803999,276,880291,105,336504
336,1071579,271,865304,85,272529
244,777494,237,756351,85,271806
370,1179941,276,880643,87,278341
253,805518,273,872291,90,287467
272,867960,248,793335,86,275975
246,786695,254,811616,89,285606
252,803521,274,873709,89,286563
467,1486664,287,915062,90,288203
295,941279,330,1054764,85,271349
251,802043,249,792668,88,279512
252,806669,263,840623,85,269901
267,854102,243,777233,85,272000
245,784168,255,816296,86,274591
283,905375,227,725297,86,274008
244,779813,233,742845,85,270941
234,745388,258,823662,88,279457
244,777471,233,741683,85,271036
228,727534,231,735466,86,274214
219,698111,234,747192,86,277116
225,717642,235,749983,105,335786
241,770207,222,707979,88,280199
241,768857,226,720954,87,279022
228,725092,242,771517,92,293322
235,748856,241,770733,84,269869
247,787896,283,903616,89,281982
277,885778,264,842265,87,277731
257,821561,346,1106915,87,277079
226,719762,247,788838,85,273061
319,1015961,274,874888,104,329489
252,803884,256,819655,85,270567
272,870149,262,835716,85,269614
293,935244,235,748607,87,279145
244,777091,294,939699,88,282526
410,1310429,310,990862,89,283802
329,1048014,342,1092859,127,404122
495,1574818,432,1378313,114,363346
461,1469013,464,1479808,138,440240
450,1436782,421,1342482,131,417706
383,1222897,439,1401363,143,458768
467,1490616,424,1354881,111,356857
382,1217506,382,1218651,120,381051
386,1229458,364,1163392,120,382808
398,1269556,392,1249906,121,385123
368,1173913,372,1188335,126,404706
407,1298886,356,1136971,159,506182
,,,,,
288.807,921720.414,277.056,884114.56,95.717,305491.619
